,title,year,month,genre,duration,country,language,budget,total_gross,net_income,critic_reviews,user_reviews,metascore,meta_hit
30594,Mela e tequila,1997,5,"Comedy, Drama, Romance",109,USA,"English, Spanish",20000000,29481428,9481428,31.0,143.0,37.0,0
30606,The Game - Nessuna regola,1997,3,"Action, Drama, Mystery",129,USA,"English, Cantonese, German",50000000,109423648,59423648,172.0,642.0,61.0,0
30607,Gattaca - La porta dell'universo,1997,3,"Drama, Sci-Fi, Thriller",106,USA,"English, Esperanto",36000000,12532777,-23467223,188.0,753.0,64.0,0
30609,George re della giungla..?,1997,4,"Action, Adventure, Comedy",92,USA,"English, Spanish",55000000,174463257,119463257,59.0,118.0,53.0,0
30610,Conflitto di interessi,1998,1,"Crime, Mystery, Thriller",114,USA,English,25000000,1677131,-23322869,69.0,106.0,65.0,0
30620,Missione Hamburger,1997,7,"Comedy, Family",95,USA,English,9000000,23712993,14712993,33.0,105.0,41.0,0
30622,Will Hunting - Genio ribelle,1997,3,"Drama, Romance",126,USA,English,10000000,225933435,215933435,164.0,899.0,70.0,0
30626,Paradiso perduto,1998,3,"Drama, Romance",111,USA,"English, French, Portuguese",25000000,55494066,30494066,81.0,208.0,55.0,0
30630,L'ultimo contratto,1997,6,"Action, Comedy, Crime",107,USA,English,15000000,28084357,13084357,70.0,319.0,76.0,1
30632,Gummo,1997,11,"Comedy, Drama",89,USA,English,1300000,116799,-1183201,53.0,407.0,19.0,0
30644,Sydney,1996,6,"Crime, Drama",102,USA,English,3000000,222559,-2777441,75.0,167.0,78.0,1
30667,Fast Food,1998,11,"Comedy, Romance, Drama",91,USA,English,35000000,10493366,-24506634,43.0,87.0,45.0,0
30671,Hoodlum,1997,8,"Crime, Drama",130,USA,English,30000000,23499102,-6500898,47.0,60.0,50.0,0
30672,Ricominciare a vivere,1998,8,"Drama, Romance",114,USA,English,30000000,81471882,51471882,68.0,167.0,42.0,0
30673,L'uomo che sussurrava ai cavalli,1998,10,"Drama, Romance, Western",169,USA,English,60000000,186883563,126883563,98.0,283.0,65.0,0
30678,La casa del sì,1997,10,"Comedy, Drama",85,USA,English,1500000,626057,-873943,44.0,91.0,54.0,0
