,title,year,month,genre,duration,country,language,avg_vote,votes,budget,gross,net_income,metascore
35434,Il tempo ritrovato,1999,4,"Drama, Romance, War",169,"France, Italy, Portugal",French,6.7,2200,65000000.0,248653,-64751347.0,72.0
35438,I visitatori alla conquista dell'America,2001,4,"Comedy, Fantasy, Sci-Fi",88,"France, USA","English, French",5.8,18073,35000000.0,16176732,-18823268.0,38.0
35455,The Big Kahuna,1999,9,"Drama, Comedy",90,USA,English,6.6,13790,7000000.0,3728888,-3271112.0,56.0
35479,L'ombra del vampiro,2000,2,"Drama, Horror",92,"UK, USA, Luxembourg","English, German, Luxembourgish",6.9,39543,8000000.0,11155214,3155214.0,71.0
35487,FBI - Protezione testimoni,2000,10,"Comedy, Crime",98,USA,"English, French, Spanish",6.7,108581,41300000.0,106371651,65071651.0,47.0
35492,The Basket,1999,5,Drama,105,USA,"English, German",6.3,478,1300000.0,367098,-932902.0,53.0
35496,La tigre e il dragone,2000,2,"Action, Adventure, Fantasy",120,"Taiwan, Hong Kong, USA, China",Mandarin,7.8,249561,17000000.0,213525736,196525736.0,94.0
35499,Dungeons & Dragons,2000,4,"Action, Adventure, Fantasy",107,"USA, Czech Republic, Canada",English,3.6,31646,45000000.0,33978694,-11021306.0,14.0
35509,Prima dell'apocalisse,2000,2,"Action, Drama, Fantasy",100,Canada,English,4.5,8921,4000000.0,4224065,224065.0,22.0
35514,"Fratello, dove sei?",2000,11,"Adventure, Comedy, Crime",107,"UK, France, USA",English,7.7,279523,26000000.0,71868327,45868327.0,69.0
35517,Pokémon - Il film,1998,4,"Animation, Action, Adventure",96,Japan,Japanese,6.3,39220,30000000.0,163644662,133644662.0,35.0
35520,Solas,1999,3,Drama,101,"Spain, Canada",Spanish,7.6,3231,125000000.0,277596,-124722404.0,75.0
35523,Vertical Limit,2000,2,"Action, Adventure, Drama",124,"USA, Germany","English, Urdu",5.9,57823,75000000.0,215663859,140663859.0,48.0
